MSU	Gene description	LFC	FDR	RAP
LOC_Os01g05650	metallothionein, putative, expressed	-1.446546826	2.09e-47	Os01g0149800
LOC_Os01g05660	expressed protein	1.374372187	5.48e-16	Os01g0149900
LOC_Os01g05710	expressed protein	1.740260098	0.001967783	Os01g0150400
LOC_Os01g05840	oxidoreductase, short chain dehydrogenase/reductase family domain containing family, expressed	2.303601099	7.88e-7	Os01g0151700
LOC_Os01g06040	expressed protein	5.200098784	1.9474e-4	Os01g0153600
LOC_Os01g06250	dirigent, putative, expressed	-1.298448714	3.33909e-4	Os01g0155300
LOC_Os01g06310	glycine-rich cell wall structural protein precursor, putative, expressed	-0.618995759	0.028117153	Os01g0155800
LOC_Os01g06320	MYB family transcription factor, putative, expressed	5.239630637	0.023303267	Os01g0156000
LOC_Os01g06360	transposon protein, putative, unclassified, expressed	1.186088392	0.001980679	Os01g0156600
LOC_Os01g06460	uncharacterized Cys-rich domain containing protein, putative, expressed	0.875047406	2.04245e-4	Os01g0157900
LOC_Os01g06510	arginyl-tRNA synthetase, putative, expressed	0.803451926	2.63e-6	Os01g0158500
LOC_Os01g06560	transcription factor HBP-1b, putative, expressed	1.973404298	0.019288226	Os01g0159000
LOC_Os01g06590	zinc finger, C3HC4 type domain containing protein, expressed	1.435868239	3.88e-11	Os01g0159300
LOC_Os01g06630	small hydrophilic plant seed protein, putative, expressed	3.158269723	2.32e-7	Os01g0159600
LOC_Os01g06836	disease resistance protein SlVe2 precursor, putative, expressed	6.402591964	1.38e-22	NA
LOC_Os01g06870	resistance protein SlVe1 precursor, putative, expressed	4.587179194	3.93e-31	Os01g0162200
LOC_Os01g06876	Cf-2, putative, expressed	5.920569001	2.98e-33	Os01g0162300
LOC_Os01g06882	expressed protein	8.208215885	4.14e-13	Os01g0162400
LOC_Os01g06890	leucine-rich repeat family protein, putative, expressed	-1.120697374	0.019288226	Os01g0162500
LOC_Os01g06990	POEI36 - Pollen Ole e I allergen and extensin family protein precursor, putative, expressed	-1.189335677	0.009523302	Os01g0163600
LOC_Os01g07060	POEI43 - Pollen Ole e I allergen and extensin family protein precursor, putative, expressed	-2.726358201	0.019343599	Os01g0164300
LOC_Os01g07120	AP2 domain containing protein, expressed	0.888563066	3.92e-7	Os01g0165000
LOC_Os01g07240	expressed protein	-1.62837775	4.76e-5	Os01g0166500
LOC_Os01g07250	saposin-like type B, region 1 family protein, putative, expressed	-0.675705016	2.42997e-4	Os01g0166700
LOC_Os01g07360	KIP1, putative, expressed	1.4247339	4.65e-9	Os01g0167900
LOC_Os01g07370	KIP1, putative, expressed	3.8750373	4.42e-63	Os01g0168100
LOC_Os01g07420	hydrolase, alpha/beta fold family protein, putative, expressed	-0.800247731	3.06e-6	Os01g0168800
LOC_Os01g07530	uncharacterized glycosyltransferase, putative, expressed	0.80080052	5.54e-6	Os01g0170000
LOC_Os01g07570	carboxyl-terminal proteinase, putative, expressed	-0.885600204	0.002024184	Os01g0170500
LOC_Os01g07700	expressed protein	0.751895183	3.23e-5	Os01g0171800
LOC_Os01g07760	phospholipase D, putative, expressed	0.639984818	0.004417485	Os01g0172400
LOC_Os01g07770	peroxidase precursor, putative, expressed	1.026984412	7.88e-7	Os01g0172600
LOC_Os01g07850	glyoxalase family protein, putative, expressed	2.300321975	2.26e-11	Os01g0173600
LOC_Os01g07870	ABC transporter family protein, putative, expressed	0.656811738	0.002978854	Os01g0173900
LOC_Os01g07890	expressed protein	-0.945906182	0.00418445	Os01g0174100
LOC_Os01g07900	expressed protein	-0.971413703	0.016944438	Os01g0174200
LOC_Os01g07920	prolyl 4-hydroxylase, putative, expressed	-0.59579626	0.0035773	Os01g0174500
LOC_Os01g07980	ankyrin, putative, expressed	-1.804832013	0.004998123	NA
LOC_Os01g08190	transcriptional corepressor LEUNIG, putative, expressed	1.252323613	8.39938e-4	Os01g0177100
LOC_Os01g08220	gibberellin 3-beta-dioxygenase 2-2, putative, expressed	3.76733345	1.48e-12	Os01g0177400
LOC_Os01g08320	OsIAA1 - Auxin-responsive Aux/IAA gene family member, expressed	-0.696816217	3.07581e-4	Os01g0178500
LOC_Os01g08380	transferase family protein, putative, expressed	2.258389238	1.11e-34	Os01g0179000
LOC_Os01g08410	early fruit mRNA, putative, expressed	0.649264101	0.013704941	Os01g0179300
LOC_Os01g08450	ras-related protein, putative, expressed	0.614313311	0.010221184	Os01g0179700
LOC_Os01g08470	retrotransposon protein, putative, unclassified, expressed	1.180342166	0.016741689	Os01g0180000
LOC_Os01g08510	MAR-binding filament-like protein 1, putative, expressed	0.608263985	0.0120943	Os01g0180300
LOC_Os01g08670	expressed protein	-1.431255565	0.00095462400000000005	Os01g0182300
LOC_Os01g08700	GIGANTEA, putative, expressed	-0.707462757	2.92e-6	Os01g0182600
LOC_Os01g08780	endonuclease/exonuclease/phosphatase family domain containing protein, expressed	2.075938117	1.22e-27	Os01g0183300
LOC_Os01g08810	cytochrome P450, putative, expressed	-0.708149301	0.044552746	Os01g0183600
LOC_Os01g08860	hsp20/alpha crystallin family protein, putative, expressed	-0.685225396	0.001133123	Os01g0184100
LOC_Os01g09100	WRKY10, expressed	1.234021009	2.17e-8	Os01g0186000
LOC_Os01g09190	expressed protein	4.50443271	0.006176058	Os01g0186600
LOC_Os01g09200	AGC_AGC_other_NDRh_TRCd.1 - ACG kinases include homologs to PKA, PKG and PKC, expressed	1.541751736	1.48e-11	Os01g0186700
LOC_Os01g09320	NADP-dependent malic enzyme, chloroplast precursor, putative, expressed	1.072219069	4.6e-9	Os01g0188400
LOC_Os01g09370	ankyrin repeat domain-containing protein 28, putative, expressed	-1.415619006	0.001437581	Os01g0188900
LOC_Os01g09410	expressed protein	-1.703406312	0.005194357	Os01g0189700
LOC_Os01g09420	expressed protein	-0.725253175	6.28244e-4	Os01g0189800
LOC_Os01g09450	OsIAA2 - Auxin-responsive Aux/IAA gene family member, expressed	0.607765712	0.013060372	Os01g0190300
LOC_Os01g09550	no apical meristem protein, putative, expressed	-0.643931306	0.001853545	Os01g0191300
LOC_Os01g09620	zinc finger/CCCH transcription factor, putative, expressed	-0.750482635	0.002616474	Os01g0192000
LOC_Os01g09665	expressed protein	1.428130886	0.012269215	Os01g0192550
LOC_Os01g09670	pollen-specific protein SF21, putative, expressed	1.8534048	3.28e-30	Os01g0192600
LOC_Os01g09770	expressed protein	1.533154837	3.54e-12	Os01g0194000
LOC_Os01g09800	BTBA1 - Bric-a-Brac,Tramtrack, Broad Complex BTB domain with Ankyrin repeat region, expressed	0.635872241	0.005531367	Os01g0194300
LOC_Os01g09870	expressed protein	1.900056986	0.003243956	Os01g0195300
LOC_Os01g09880	harpin-induced protein 1 domain containing protein, expressed	-0.660243859	9.3048e-4	Os01g0195400
LOC_Os01g09900	helix-loop-helix DNA-binding domain containing protein, expressed	3.604696545	3.25e-8	Os01g0195700
LOC_Os01g09900	helix-loop-helix DNA-binding domain containing protein, expressed	3.604696545	3.25e-8	Os01g0195801
LOC_Os01g09990	helix-loop-helix DNA-binding domain containing protein, expressed	1.096712596	0.027469593	Os01g0196300
LOC_Os01g10130	RNA-dependent RNA polymerase, putative, expressed	1.00316896	0.001191851	Os01g0197900
LOC_Os01g10210	lachrymatory factor synthase, putative, expressed	1.156040169	8.39938e-4	Os01g0198900
LOC_Os01g10230	lachrymatory factor synthase, putative, expressed	1.973185792	0.008208421	Os01g0199300
LOC_Os01g10400	expressed protein	-1.316848175	1.87e-8	Os01g0200700
LOC_Os01g10440	xylosyltransferase, putative, expressed	3.679462128	2.93e-23	Os01g0201100
LOC_Os01g10450	protein kinase domain containing protein, expressed	-0.973333525	2.59e-5	Os01g0201200
LOC_Os01g10610	BES1/BZR1 homolog protein, putative, expressed	0.83312287	2.26639e-4	Os01g0203000
LOC_Os01g10640	expressed protein	2.4540385750000002	4.15e-14	Os01g0203400
LOC_Os01g10740	expressed protein	1.423030681	1.93859e-4	NA
LOC_Os01g10830	carnitine racemase like protein, putative, expressed	0.864150994	0.02407029	Os01g0205600
LOC_Os01g10850	peroxidase precursor, putative, expressed	0.86681982	0.026435053	Os01g0205900
LOC_Os01g10870	CAMK_KIN1/SNF1/Nim1_like.7 - CAMK includes calcium/calmodulin depedent protein kinases, expressed	-1.787572113	0.033569741	Os01g0206300
LOC_Os01g10900	MRH1, putative, expressed	-0.931260331	0.020672703	Os01g0206800
LOC_Os01g10990	integral membrane protein DUF6 containing protein, expressed	2.845534062	0.0368874	Os01g0208000
LOC_Os01g11160	amino acid permease family protein, putative, expressed	2.11542274	4.96e-5	Os01g0209800
LOC_Os01g11240	DUF538 domain containing protein, putative, expressed	-0.618852099	0.003534884	Os01g0210600
LOC_Os01g11350	bZIP transcription factor domain containing protein, expressed	-1.619025905	1.06e-5	Os01g0211800
LOC_Os01g11414	sodium/calcium exchanger protein, putative, expressed	0.788901572	0.001331311	Os01g0212400
LOC_Os01g11460	zinc finger, C3HC4 type domain containing protein, expressed	1.730520415	0.003553658	Os01g0212700
LOC_Os01g11520	RING-H2 finger protein, putative, expressed	1.074978368	6.65e-7	Os01g0213400
LOC_Os01g11590	uncharacterized protein HI0077, putative, expressed	0.705879588	0.005308735	Os01g0214400
LOC_Os01g11600	expressed protein	2.764885474	3.39e-30	Os01g0214500
LOC_Os01g11670	OsSCP2 - Putative Serine Carboxypeptidase homologue, expressed	2.917259297	0.010202437	Os01g0215100
LOC_Os01g11790	GDSL-like lipase/acylhydrolase, putative, expressed	-2.81948197	4.31e-8	Os01g0216900
LOC_Os01g11820	expressed protein	-1.05401362	0.015920451	Os01g0217100
LOC_Os01g11860	DJ-1 family protein, putative, expressed	-1.339597644	7.24229e-4	Os01g0217500
LOC_Os01g11910	basic helix-loop-helix, putative, expressed	-0.630197953	0.019062231	Os01g0218100
LOC_Os01g11940	osFTL1 FT-Like1 homologous to Flowering Locus T gene; contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein, expressed	0.844948176	0.046893644	Os01g0218500
LOC_Os01g12000	expressed protein	-0.767894938	1.86305e-4	Os01g0219300
LOC_Os01g12110	expressed protein	1.440479416	0.011641222	Os01g0220500
LOC_Os01g12160	OsGH3.3 - Probable indole-3-acetic acid-amido synthetase, expressed	-0.605143745	0.004324261	Os01g0221100
LOC_Os01g12190	expressed protein	-0.718799923	0.003374531	Os01g0221400
LOC_Os01g12210	aluminum-activated malate transporter, putative, expressed	-2.281142422	4.29e-17	Os01g0221600
LOC_Os01g12270	expressed protein	-1.102603245	9.17878e-4	Os01g0222600
LOC_Os01g12381	GDSL-like lipase/acylhydrolase, putative, expressed	-1.140299859	9.1719e-4	Os01g0223500
LOC_Os01g12390	inactive receptor kinase At2g26730 precursor, putative, expressed	-1.024898329	2.2e-9	Os01g0223600
LOC_Os01g12440	AP2 domain containing protein, expressed	2.673790095	1.58e-8	Os01g0224100
LOC_Os01g12680	C4-dicarboxylate transporter/malic acid transport protein, expressed	0.970822199	0.016463968	Os01g0226600
LOC_Os01g12690	plant-specific domain TIGR01568 family protein, expressed	2.187470669	1.63319e-4	Os01g0226700
LOC_Os01g12710	oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed	0.706165941	5.78286e-4	Os01g0227100
LOC_Os01g12770	cytochrome P450, putative, expressed	6.959385005	9.25e-21	Os01g0227800
LOC_Os01g12790	receptor protein kinase, putative, expressed	1.298395545	0.020629787	NA
LOC_Os01g12820	harpin-induced protein, putative, expressed	1.632902058	4.58188e-4	Os01g0228500
LOC_Os01g12930	U-box domain containing protein, expressed	6.027205894	5.17e-203	Os01g0229700
LOC_Os01g12940	phosphorylase domain containing protein, putative, expressed	0.715994903	0.001042144	Os01g0229800
LOC_Os01g13270	AGC_PVPK_like_kin82y.4 - ACG kinases include homologs to PKA, PKG and PKC, expressed	4.669716952	1.45e-32	Os01g0233800
LOC_Os01g13320	pectinesterase, putative, expressed	-1.015675634	0.048645222	Os01g0234300
LOC_Os01g13320	pectinesterase, putative, expressed	-1.015675634	0.048645222	Os01g0234499
LOC_Os01g13530	ABIL2, putative, expressed	-0.796776808	0.025425551	Os01g0236400
LOC_Os01g13560	membrane associated DUF588 domain containing protein, putative, expressed	-1.355058926	9.77917e-4	Os01g0237000
LOC_Os01g13610	isoflavone reductase homolog IRL, putative, expressed	2.185314112	5.64e-36	Os01g0237500
LOC_Os01g13610	isoflavone reductase homolog IRL, putative, expressed	2.185314112	5.64e-36	Os01g0237750
LOC_Os01g13660	expressed protein	-1.034569036	6.13e-9	Os01g0238200
LOC_Os01g13690	ligA, putative, expressed	1.48232881	1.3100000000000001e-10	Os01g0238500
LOC_Os01g13780	expressed protein	1.620412761	3.67659e-4	Os01g0239300
LOC_Os01g13800	receptor-like protein kinase 5 precursor, putative, expressed	-0.62296771	0.003778841	Os01g0239700
LOC_Os01g14130	expressed protein	1.656996996	0.002019755	Os01g0243600
LOC_Os01g14140	X8 domain containing protein, expressed	-0.916774153	1.86e-6	Os01g0243700
LOC_Os01g14430	DNA binding protein, putative, expressed	3.182669153	2.02e-6	Os01g0246601
LOC_Os01g14440	WRKY1, expressed	1.360717465	1.44e-10	Os01g0246700
LOC_Os01g14520	C4-dicarboxylate transporter/malic acid transport protein domain containing protein, expressed	-1.184972025	1.14e-11	Os01g0247700
LOC_Os01g14540	STIGL1 - Stigma-specific Stig1 family protein precursor, expressed	-1.455247827	0.003931188	Os01g0248000
LOC_Os01g14550	pathogen-related protein, putative, expressed	2.405194671	2.7900000000000003e-35	Os01g0248300
LOC_Os01g14580	dehydrogenase, putative, expressed	1.04108326	5.36e-6	Os01g0248400
LOC_Os01g14590	pathogen-related protein, putative, expressed	1.68474982	8.62e-19	Os01g0248500
LOC_Os01g14630	polyprenyl synthetase, putative, expressed	2.991539526	2.8e-10	Os01g0248701
LOC_Os01g14660	expansin precursor, putative, expressed	-1.299653702	0.027647397	Os01g0249100
LOC_Os01g14700	expressed protein	-1.415194559	0.002705306	Os01g0249700
LOC_Os01g14850	MFS18 protein precursor, putative, expressed	5.45225104	0.033018187	Os01g0251400
LOC_Os01g15000	lipase, putative, expressed	0.677594116	0.03322862	Os01g0253900
LOC_Os01g15060	expressed protein	3.49316864	9.85e-13	Os01g0254400
LOC_Os01g15130	hydrolase, alpha/beta fold family domain containing protein, expressed	8.700824378	7.93e-219	Os01g0255100
LOC_Os01g15350	zinc finger C-x8-C-x5-C-x3-H type family protein, expressed	0.913103378	7.17e-7	Os01g0257400
LOC_Os01g15470	protein kinase, putative, expressed	-0.667413208	0.011374747	Os01g0259200
LOC_Os01g15640	no apical meristem protein, putative, expressed	1.140010149	9.15e-7	Os01g0261200
LOC_Os01g15810	peroxidase precursor, putative, expressed	-0.68687124	0.013604148	Os01g0263000
LOC_Os01g15830	peroxidase precursor, putative, expressed	-0.668240888	0.005804102	Os01g0263300
LOC_Os01g15900	expressed protein	-0.674917023	0.001322538	Os01g0264000
LOC_Os01g16250	expressed protein	3.43787415	0.015933975	Os01g0268000
LOC_Os01g16310	glycosyl hydrolase, family 31, putative, expressed	1.995896264	0.026912066	Os01g0268600
LOC_Os01g16770	expansin precursor, putative, expressed	-2.050747736	7.65e-5	Os01g0274500
LOC_Os01g16920	embryonic protein DC-8, putative, expressed	1.337150804	0.03225135	Os01g0276300
LOC_Os01g16930	presenilin, putative, expressed	0.715648212	0.007369548	Os01g0276400
LOC_Os01g16960	pyruvate kinase, putative, expressed	0.638425334	0.012877609	Os01g0276700
LOC_Os01g17020	glycosyl hydrolases family 17 protein, putative, expressed	-0.594208668	0.002817483	Os01g0277700
LOC_Os01g17050	VQ domain containing protein, putative, expressed	3.302270371	1.09e-15	Os01g0278000
LOC_Os01g17160	OsSubt1 - Putative Subtilisin homologue, expressed	0.982892727	2.36e-6	Os01g0278950
LOC_Os01g17160	OsSubt1 - Putative Subtilisin homologue, expressed	0.982892727	2.36e-6	Os01g0279000
LOC_Os01g17330	eukaryotic translation initiation factor 6, putative, expressed	1.392604328	0.017629366	Os01g0280500
LOC_Os01g18240	MYB family transcription factor, putative, expressed	-1.111505278	6.91e-6	Os01g0285300
LOC_Os01g18360	OsIAA4 - Auxin-responsive Aux/IAA gene family member, expressed	-1.341112844	0.001039358	Os01g0286900
LOC_Os01g18400	CHIT10 - Chitinase family protein precursor, expressed	2.040992931	1.44e-36	Os01g0287600
LOC_Os01g18450	expressed protein	-2.132338912	1.44e-7	Os01g0288200
LOC_Os01g18530	expressed protein	3.94231603	1.3e-14	Os01g0289100
LOC_Os01g18620	transferase family protein, putative, expressed	-1.384959872	2.52186e-4	Os01g0289900
LOC_Os01g18670	MDR-like ABC transporter, putative, expressed	0.680622935	0.00687406	Os01g0290700
LOC_Os01g18950	peroxidase precursor, putative, expressed	-1.176900824	0.005662653	NA
LOC_Os01g18970	peroxidase precursor, putative, expressed	-2.124959952	5.86e-6	Os01g0294500
LOC_Os01g19020	peroxidase precursor, putative, expressed	-0.926260958	1.49319e-4	Os01g0294700
LOC_Os01g19130	protein phosphatase 2C, putative, expressed	1.198684076	3.06e-7	Os01g0295700
LOC_Os01g19240	integral membrane protein DUF6 containing protein, expressed	1.369022803	0.011939045	Os01g0296900
LOC_Os01g19330	MYB family transcription factor, putative, expressed	2.614998664	4.42e-22	Os01g0298400
LOC_Os01g19390	glycerol-3-phosphate acyltransferase, putative, expressed	0.820481911	5.23e-6	Os01g0299300
LOC_Os01g19480	kelch motif family protein, putative, expressed	-1.289041046	0.012284246	Os01g0300900
LOC_Os01g19630	expressed protein	-1.132417359	1.36e-9	Os01g0302100
LOC_Os01g19750	glycosyl hydrolase, putative, expressed	12.40542691	1.11e-162	Os01g0303100
LOC_Os01g19800	zinc finger, C3HC4 type, putative, expressed	1.189094253	5.3e-6	Os01g0303600
LOC_Os01g19880	expressed protein	4.27156403	6.69e-17	Os01g0304400
LOC_Os01g19940	expressed protein	0.672442418	0.00333709	Os01g0305200
LOC_Os01g20160	OsHKT1;5 - Na+ transporter, expressed	-0.95591223299999994	9.27e-6	Os01g0307500
LOC_Os01g20204	expressed protein	3.063352421	0.005822758	Os01g0307624
LOC_Os01g20206	methyltransferase, putative, expressed	2.432198944	6.48e-10	Os01g0307686
LOC_Os01g20720	CC-NBS-LRR, putative, expressed	-0.688887788	0.00142454	Os01g0308300
LOC_Os01g20930	RING-H2 finger protein, putative, expressed	-1.536559296	0.038417327	Os01g0311400
LOC_Os01g20950	sulfotransferase domain containing protein, expressed	-2.110266443	9.73786e-4	Os01g0311600
LOC_Os01g21034	pectinesterase, putative, expressed	1.083894738	0.011217418	Os01g0312500
LOC_Os01g21070	endoglucanase, putative, expressed	-1.413459311	0.001219729	Os01g0312800
LOC_Os01g21120	AP2 domain containing protein, expressed	2.910689173	2.12e-23	Os01g0313300
LOC_Os01g21250	late embryogenesis abundant protein, putative, expressed	3.621618611	3.35e-58	Os01g0314800
LOC_Os01g21520	esterase/lipase/thioesterase family protein, putative, expressed	5.923596913	0.016952881	Os01g0317500
LOC_Os01g21630	pectinacetylesterase domain containing protein, expressed	3.001479612	1.07e-15	Os01g0319000
LOC_Os01g21650	plant protein of unknown function domain containing protein, expressed	2.515383021	4.41e-12	Os01g0319200
LOC_Os01g21740	expressed protein	-1.462610096	0.007631331	Os01g0320400
LOC_Os01g21970	protein kinase, putative, expressed	3.508017157	1.99e-22	Os01g0323100
LOC_Os01g22000	expressed protein	2.153594054	9.99e-10	Os01g0323500
LOC_Os01g22370	peroxidase precursor, putative, expressed	0.662662167	0.011054301	Os01g0327400
LOC_Os01g22710	organic cation transporter-related, putative, expressed	1.556616447	2.91e-7	Os01g0330600
LOC_Os01g22900	neutral/alkaline invertase, putative, expressed	1.52222615	1.7e-15	Os01g0332100
LOC_Os01g22920	gibberellin 2-beta-dioxygenase, putative, expressed	3.957563482	2.43e-29	NA
LOC_Os01g23580	inorganic H+ pyrophosphatase, putative, expressed	1.017747011	0.002663205	Os01g0337500
LOC_Os01g23610	dihydrolipoyl dehydrogenase, putative, expressed	0.82917271	1.93132e-4	Os01g0337900
LOC_Os01g23680	rossmann fold nucleotide-binding protein involved in DNA uptake, putative, expressed	0.961549294	3.43e-8	Os01g0338600
