RAP	MSU	Name	Description	Type	SYMBOL	ENTREZ	RAP.description	RAP.name	RAP.synonym	CGSNL.symbol	CGSNL.name	Oryzabase.name	Oryzabase.synonym	Oryzabase.protein	AM_gene_description	AM_gene_otherinfo	NCBI.Name	GO.term	GO.name	ATG
Os01g0813800	LOC_Os01g59840, LOC_Os01g59840	Os1bglu3, Os1bglu3	Similar to Beta-glucosidase 3, Similar to Beta-glucosidase 3	protein_coding, protein_coding	LOC4327593, LOC4327593	4327593, 4327593	Similar to Beta-glucosidase 3., Similar to cDNA, clone: J065127F19, full insert sequence.	NA	NA	BGLU3, BGLU3	BETA-GLUCOSIDASE 3, BETA-GLUCOSIDASE 3	Os1bglu3, Os1Bglu3, Os1bglu3, Os1Bglu3	beta-glucosidase 3, beta-glucosidase 3	BETA-GLUCOSIDASE 3, BETA-GLUCOSIDASE 3	NA	NA	beta-glucosidase 3-like, beta-glucosidase 3-like	GO:0005975, GO:0008422, GO:0004553, GO:0004565, GO:0033907, GO:0016787, GO:0003824, GO:0043169, GO:0005975, GO:0008422, GO:0004553, GO:0004565, GO:0033907, GO:0016787, GO:0003824, GO:0043169	carbohydrate metabolic process, beta-glucosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, beta-galactosidase activity, beta-D-fucosidase activity, hydrolase activity, catalytic activity, cation binding, carbohydrate metabolic process, beta-glucosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, beta-galactosidase activity, beta-D-fucosidase activity, hydrolase activity, catalytic activity, cation binding	AT1G02850
Os01g0930800	LOC_Os01g70520	Os1bglu5	Glycoside hydrolase, family 1 protein	protein_coding	LOC4326948	4326948	Glycoside hydrolase, family 1 protein.	NA	NA	BGLU5	BETA-GLUCOSIDASE 5	Os1bglu5, Os1Bglu5, 1bglu5	beta-glucosidase 5	BETA-GLUCOSIDASE 5	NA	NA	beta-glucosidase 5-like	GO:0005975, GO:0008422, GO:0102483, GO:0004553, GO:0016787, GO:0016798, GO:0008152, GO:0004565, GO:0033907, GO:0003824, GO:0043169, GO:0048573	carbohydrate metabolic process, beta-glucosidase activity, scopolin beta-glucosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, hydrolase activity, hydrolase activity, acting on glycosyl bonds, metabolic process, beta-galactosidase activity, beta-D-fucosidase activity, catalytic activity, cation binding, photoperiodism, flowering	AT1G02850
Os01g0813700	LOC_Os01g59819	Os1bglu2	Similar to Non-cyanogenic beta-glucosidase	protein_coding	LOC9267759	9267759	Similar to Non-cyanogenic beta-glucosidase.	NA	NA	BGLU2	BETA-GLUCOSIDASE 2	Os1bglu2, Os1Bglu2	beta-glucosidase 2	BETA-GLUCOSIDASE 2	NA	NA	beta-glucosidase 2-like	GO:0005975, GO:0008422, GO:0102483, GO:0004553, GO:0016787, GO:0016798, GO:0008152, GO:0004565, GO:0033907, GO:0003824, GO:0043169	carbohydrate metabolic process, beta-glucosidase activity, scopolin beta-glucosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, hydrolase activity, hydrolase activity, acting on glycosyl bonds, metabolic process, beta-galactosidase activity, beta-D-fucosidase activity, catalytic activity, cation binding	AT1G02850
Os05g0365600	LOC_Os05g30250	Os5bglu19	Similar to Hydroxyisourate hydrolase	protein_coding	LOC4338556	4338556	Similar to Hydroxyisourate hydrolase.	NA	NA	BGLU19	BETA-GLUCOSIDASE 19	Os5bglu19, Os5Bglu19	beta-glucosidase 19	BETA-GLUCOSIDASE 19	NA	NA	beta-glucosidase 19-like	GO:0005975, GO:0008422, GO:0102483, GO:0004553, GO:0016787, GO:0016798, GO:0008152, GO:0004565, GO:0033907, GO:0003824, GO:0043169	carbohydrate metabolic process, beta-glucosidase activity, scopolin beta-glucosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, hydrolase activity, hydrolase activity, acting on glycosyl bonds, metabolic process, beta-galactosidase activity, beta-D-fucosidase activity, catalytic activity, cation binding	AT1G02850
Os05g0366000	LOC_Os05g30300	Os5bglu21	Beta-glucosidase 21	protein_coding	LOC4338558	4338558	Beta-glucosidase 21.	NA	NA	BGLU21	BETA-GLUCOSIDASE 21	Os5bglu21, Os5Bglu21	beta-glucosidase 21	BETA-GLUCOSIDASE 21	NA	NA	beta-glucosidase 21	GO:0005975, GO:0008422, GO:0102483, GO:0004553, GO:0016787, GO:0016798, GO:0008152, GO:0004565, GO:0033907, GO:0003824, GO:0043169	carbohydrate metabolic process, beta-glucosidase activity, scopolin beta-glucosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, hydrolase activity, hydrolase activity, acting on glycosyl bonds, metabolic process, beta-galactosidase activity, beta-D-fucosidase activity, catalytic activity, cation binding	AT1G02850
Os05g0366800	LOC_Os05g30390	Os5bglu23	Similar to Beta-glucosidase 22	protein_coding	NA	NA	Similar to Beta-glucosidase 22.	NA	NA	BGLU23	BETA-GLUCOSIDASE 23	Os5bglu23, Os5Bglu23	beta-glucosidase 23	BETA-GLUCOSIDASE 23	NA	NA	NA	GO:0005975, GO:0008422, GO:0004553, GO:0004565, GO:0033907, GO:0003824, GO:0043169	carbohydrate metabolic process, beta-glucosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, beta-galactosidase activity, beta-D-fucosidase activity, catalytic activity, cation binding	AT1G02850
Os05g0366600	LOC_Os05g30350	Os5bglu22	Similar to Hydroxyisourate hydrolase	protein_coding	LOC4338560	4338560	Similar to Hydroxyisourate hydrolase.	NA	NA	BGLU22	BETA-GLUCOSIDASE 22	Os5bglu22, Os5Bglu22	beta-glucosidase 22	BETA-GLUCOSIDASE 22	NA	NA	beta-glucosidase 22-like	GO:0005975, GO:0008422, GO:0102483, GO:0004553, GO:0016787, GO:0016798, GO:0008152, GO:0004565, GO:0033907, GO:0003824, GO:0043169	carbohydrate metabolic process, beta-glucosidase activity, scopolin beta-glucosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, hydrolase activity, hydrolase activity, acting on glycosyl bonds, metabolic process, beta-galactosidase activity, beta-D-fucosidase activity, catalytic activity, cation binding	AT1G02850
Os01g0356500	LOC_Os01g25440	OsSTA15	Thiamin pyrophosphokinase, eukaryotic domain containing protein	protein_coding	LOC4326288	4326288	Thiamin pyrophosphokinase, eukaryotic domain containing protein.	NA	NA	NA	NA	OsSTA15	NA	NA	NA	NA	thiamine pyrophosphokinase 2-like	GO:0009229, GO:0030975, GO:0004788, GO:0006772, GO:0005524, GO:0005829, GO:0016301, GO:0016740, GO:0000166, GO:0016310, GO:0005737, GO:0042723	thiamine diphosphate biosynthetic process, thiamine binding, thiamine diphosphokinase activity, thiamine metabolic process, ATP binding, cytosol, kinase activity, transferase activity, nucleotide binding, phosphorylation, cytoplasm, thiamine-containing compound metabolic process	AT1G02880
Os01g0933900	LOC_Os01g70770	OsGSTF4	Similar to Glutathione transferase III(B) (EC 2.5.1.18)	protein_coding	LOC4326828	4326828	Similar to Glutathione transferase III(B) (EC 2.5.1.18).	NA	NA	GSTF4	PHI GLUTATHIONE S-TRANSFERASE 4	OsGSTF4	NA	PHI GLUTATHIONE S-TRANSFERASE 4	NA	NA	glutathione S-transferase 3	GO:0006749, GO:0004364, GO:0043295, GO:0005737, GO:0016740, GO:0042221, GO:0005515	glutathione metabolic process, glutathione transferase activity, glutathione binding, cytoplasm, transferase activity, response to chemical, protein binding	AT1G02920
Os01g0933900	LOC_Os01g70770	OsGSTF4	Similar to Glutathione transferase III(B) (EC 2.5.1.18)	protein_coding	LOC4326828	4326828	Similar to Glutathione transferase III(B) (EC 2.5.1.18).	NA	NA	GSTF4	PHI GLUTATHIONE S-TRANSFERASE 4	OsGSTF4	NA	PHI GLUTATHIONE S-TRANSFERASE 4	NA	NA	glutathione S-transferase 3	GO:0006749, GO:0004364, GO:0043295, GO:0005737, GO:0016740, GO:0042221, GO:0005515	glutathione metabolic process, glutathione transferase activity, glutathione binding, cytoplasm, transferase activity, response to chemical, protein binding	AT1G02930
Os05g0402900	LOC_Os05g33400	OsBphi262	Similar to EDGP	protein_coding	LOC4338739	4338739	Similar to EDGP.	NA	NA	NA	NA	OsBphi262	BPH-inducible gene 262, Brown planthopper-inducible gene 262	NA	NA	NA	basic 7S globulin	GO:0004190, GO:0006508, GO:0030163	aspartic-type endopeptidase activity, proteolysis, protein catabolic process	AT1G03230
Os05g0403000	LOC_Os05g33410	NA	Peptidase aspartic, catalytic domain containing protein	protein_coding	LOC9270164	9270164	Peptidase aspartic, catalytic domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	basic 7S globulin	GO:0004190, GO:0006508, GO:0030163	aspartic-type endopeptidase activity, proteolysis, protein catabolic process	AT1G03230
Os05g0403300	LOC_Os05g33430	NA	Peptidase A1 domain containing protein	protein_coding	LOC4338740	4338740	Peptidase A1 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	basic 7S globulin	GO:0004190, GO:0006508, GO:0030163	aspartic-type endopeptidase activity, proteolysis, protein catabolic process	AT1G03230
Os05g0403100	LOC_Os05g33420	NA	Peptidase A1 domain containing protein	protein_coding	NA	NA	Peptidase A1 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GO:0004190, GO:0006508, GO:0030163	aspartic-type endopeptidase activity, proteolysis, protein catabolic process	AT1G03230
Os08g0492400	LOC_Os08g38440	NA	C2 calcium-dependent membrane targeting domain containing protein	protein_coding	LOC4345911	4345911	C2 calcium-dependent membrane targeting domain containing protein.	NA	NA	NA	NA	OsC2DP71	C2 Domain-Containing Protein 71	C2 DOMAIN-CONTAINING PROTEIN 71	NA	NA	C2 and GRAM domain-containing protein At1g03370	GO:0005515, GO:0009408, GO:0009409, GO:0016021	protein binding, response to heat, response to cold, integral component of membrane	AT1G03370
Os06g0297800	LOC_Os06g19400, LOC_Os06g19400	NA	Similar to protein binding / zinc ion binding, Similar to protein binding / zinc ion binding	protein_coding, protein_coding	LOC4340810, LOC4340810	4340810, 4340810	Similar to protein binding / zinc ion binding., Similar to predicted protein.	NA	NA	NA	NA	OsC2DP49, OsC2DP49	C2 Domain-Containing Protein 49, C2 Domain-Containing Protein 49	C2 DOMAIN-CONTAINING PROTEIN 49, C2 DOMAIN-CONTAINING PROTEIN 49	NA	NA	C2 and GRAM domain-containing protein At1g03370, C2 and GRAM domain-containing protein At1g03370	GO:0016020, GO:0016021, GO:0005515, GO:0009409, GO:0009651, GO:0010446, GO:0016020, GO:0016021, GO:0005515, GO:0009409, GO:0009651, GO:0010446	membrane, integral component of membrane, protein binding, response to cold, response to salt stress, response to alkaline pH, membrane, integral component of membrane, protein binding, response to cold, response to salt stress, response to alkaline pH	AT1G03370
Os06g0607900	LOC_Os06g40570, LOC_Os06g40570	Osnop, Osnop	GRAM domain containing protein, GRAM domain containing protein	protein_coding, protein_coding	LOC9269603, LOC9269603	9269603, 9269603	GRAM domain containing protein., C2 and GRAM domain containing protein, Pollen development and its germination	NA	NA	OSNOP, OSNOP	NO POLLEN, NO POLLEN	OsNOP, OsC2DP53, C2DP53, OsNOP, OsC2DP53, C2DP53	no pollen gene, no pollen, C2 and GRAM domain containing protein, C2 Domain-Containing Protein 53, no pollen gene, no pollen, C2 and GRAM domain containing protein, C2 Domain-Containing Protein 53	C2 AND GRAM DOMAIN CONTAINING PROTEIN OSNOP, C2 AND GRAM DOMAIN CONTAINING PROTEIN OSNOP	NA	NA	C2 and GRAM domain-containing protein At1g03370, C2 and GRAM domain-containing protein At1g03370	GO:0010152, GO:0016020, GO:0016021, GO:0005739, GO:0019722, GO:0048015, GO:0010152, GO:0016020, GO:0016021, GO:0005739, GO:0019722, GO:0048015	pollen maturation, membrane, integral component of membrane, mitochondrion, calcium-mediated signaling, phosphatidylinositol-mediated signaling, pollen maturation, membrane, integral component of membrane, mitochondrion, calcium-mediated signaling, phosphatidylinositol-mediated signaling	AT1G03370
Os02g0199800	LOC_Os02g10630	OsSTA54	Similar to No pollen	protein_coding	LOC4328641	4328641	Similar to No pollen.	NA	NA	NA	NA	OsSTA54, OsC2DP14	C2 Domain-Containing Protein 14	C2 DOMAIN-CONTAINING PROTEIN 14	NA	NA	C2 and GRAM domain-containing protein At1g03370	GO:0016020, GO:0016021, GO:0005515	membrane, integral component of membrane, protein binding	AT1G03370
Os12g0295600	LOC_Os12g19860	NA	Similar to predicted protein	protein_coding	LOC9266505	9266505	Similar to predicted protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC9266505	GO:0016021, GO:0016020	integral component of membrane, membrane	AT1G03730
Os09g0451500	LOC_Os09g27830, LOC_Os09g27830	PDIL2, PDIL2	Similar to protein disulfide isomerase, Similar to protein disulfide isomerase	protein_coding, protein_coding	LOC4347226, LOC4347226	4347226, 4347226	Similar to protein disulfide isomerase., Protein disulfide isomerase (PDI) family oxidoreductase, Ortholog of human P5, Protein Body (PB) development in the endosperm, Storage protein biogenesis	NA	NA	NA	NA	PDIL2;3, OsPDIL2;3, PDIL 2-3, OsPDIL2-3, OsTrx27, Trx27, PDIL2;3, OsPDIL2;3, PDIL 2-3, OsPDIL2-3, OsTrx27, Trx27	PROTEIN DISULFIDE ISOMERASE-LIKE 2;3, protein disulfide-isomerase 2-3, protein disulfide isomerase 2-3, PDI-like protein 2-3, Thioredoxin 27, PROTEIN DISULFIDE ISOMERASE-LIKE 2;3, protein disulfide-isomerase 2-3, protein disulfide isomerase 2-3, PDI-like protein 2-3, Thioredoxin 27	PROTEIN DISULFIDE ISOMERASE-LIKE 2-3, PROTEIN DISULFIDE ISOMERASE-LIKE 2-3	NA	NA	protein disulfide isomerase-like 2-3, protein disulfide isomerase-like 2-3	GO:0003756, GO:0045454, GO:0005788, GO:0016853, GO:0005783, GO:0034976, GO:0015035, GO:0006662, GO:0009055, GO:0005576, GO:0009408, GO:0003756, GO:0045454, GO:0005788, GO:0016853, GO:0005783, GO:0034976, GO:0015035, GO:0006662, GO:0009055, GO:0005576, GO:0009408	protein disulfide isomerase activity, cell redox homeostasis, endoplasmic reticulum lumen, isomerase activity, endoplasmic reticulum, response to endoplasmic reticulum stress, protein-disulfide reductase activity, glycerol ether metabolic process, electron transfer activity, extracellular region, response to heat, protein disulfide isomerase activity, cell redox homeostasis, endoplasmic reticulum lumen, isomerase activity, endoplasmic reticulum, response to endoplasmic reticulum stress, protein-disulfide reductase activity, glycerol ether metabolic process, electron transfer activity, extracellular region, response to heat	AT1G04980
Os09g0451400	LOC_Os09g27820	ACO2	ACC oxidase, Ethylene biosynthesi	protein_coding	LOC4347225	4347225	ACC oxidase, Ethylene biosynthesis	ACO2, OsACO2	AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE 2, ACC oxidase 2	ACO1	AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE 1	OsACO1, ACO	ACC oxidase 1, ACC oxidase	AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE 1	NA	NA	1-aminocyclopropane-1-carboxylate oxidase 1-like	GO:0031418, GO:0009693, GO:0046872, GO:0009815, GO:0009835, GO:0051213, GO:0016491, GO:0016706, GO:0055114, GO:0005507, GO:0005618, GO:0005886, GO:0009409, GO:0009620, GO:0009651, GO:0009727	NA	AT1G05010
Os09g0451000	LOC_Os09g27750	ACO1	ACC oxidase, Ethylene biosynthesi	protein_coding	LOC4347224	4347224	ACC oxidase, Ethylene biosynthesis	ACO1, OsACO1, ACO	AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE 1, ACC oxidase 1, ACC oxidase	ACO2	AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE 2	OsACO2, OsACO1	ACC oxidase 2	AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE 2	NA	NA	1-aminocyclopropane-1-carboxylate oxidase 1	GO:0046872, GO:0051213, GO:0016491, GO:0016706, GO:0055114, GO:0005507, GO:0005618, GO:0005886, GO:0007584, GO:0009408, GO:0009414, GO:0009620, GO:0009651, GO:0009693, GO:0009727, GO:0009733, GO:0009737, GO:0009751, GO:0009753	NA	AT1G05010
